索引   文件名   耗时  数据最优解   实验最优解 
179   1225_Instance_20_2_3_0,4_1_20_Rep0.txt   2.24   2306   2143 
179   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.08   6503   8646 
185   1230_Instance_20_2_3_0,6_0,2_10_Rep0.txt   3.02   8150   9575 
185   1230_Instance_20_2_3_0,6_0,2_10_Rep0.txt   3.02   8150   9575 
185   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.35   6503   8617 
190   1235_Instance_20_2_3_0,6_0,2_20_Rep0.txt   3.08   4094   5617 
190   1235_Instance_20_2_3_0,6_0,2_20_Rep0.txt   3.08   4094   5617 
190   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.45   6503   7913 
196   1240_Instance_20_2_3_0,6_0,6_10_Rep0.txt   1.29   8373   10232 
196   1240_Instance_20_2_3_0,6_0,6_10_Rep0.txt   1.29   8373   10232 
196   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.45   6503   8638 
201   1245_Instance_20_2_3_0,6_0,6_20_Rep0.txt   1.22   5801   6283 
201   1245_Instance_20_2_3_0,6_0,6_20_Rep0.txt   1.22   5801   6283 
201   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.32   6503   8145 
207   1250_Instance_20_2_3_0,6_1_10_Rep0.txt   1.24   5026   4726 
207   1250_Instance_20_2_3_0,6_1_10_Rep0.txt   1.24   5026   4726 
207   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.25   6503   7641 
212   1255_Instance_20_2_3_0,6_1_20_Rep0.txt   1.43   5384   7334 
212   1255_Instance_20_2_3_0,6_1_20_Rep0.txt   1.43   5384   7334 
212   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.31   6503   8496 
217   125_Instance_10_2_3_0,4_0,2_20_Rep0.txt   0.95   687   795 
217   125_Instance_10_2_3_0,4_0,2_20_Rep0.txt   0.95   687   795 
217   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.13   6503   8428 
223   130_Instance_10_2_3_0,4_0,6_10_Rep0.txt   0.38   859   975 
223   130_Instance_10_2_3_0,4_0,6_10_Rep0.txt   0.38   859   975 
223   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.72   6503   8540 
228   135_Instance_10_2_3_0,4_0,6_20_Rep0.txt   0.53   1792   1919 
228   135_Instance_10_2_3_0,4_0,6_20_Rep0.txt   0.53   1792   1919 
228   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.45   6503   8291 
234   140_Instance_10_2_3_0,4_1_10_Rep0.txt   0.39   1176   1135 
234   140_Instance_10_2_3_0,4_1_10_Rep0.txt   0.39   1176   1135 
234   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.06   6503   7774 
239   145_Instance_10_2_3_0,4_1_20_Rep0.txt   0.37   1757   2309 
239   145_Instance_10_2_3_0,4_1_20_Rep0.txt   0.37   1757   2309 
239   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.49   6503   8224 
245   150_Instance_10_2_3_0,6_0,2_10_Rep0.txt   0.88   2587   2725 
245   150_Instance_10_2_3_0,6_0,2_10_Rep0.txt   0.88   2587   2725 
245   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.34   6503   8040 
250   155_Instance_10_2_3_0,6_0,2_20_Rep0.txt   0.38   2162   2350 
250   155_Instance_10_2_3_0,6_0,2_20_Rep0.txt   0.38   2162   2350 
250   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.18   6503   8641 
255   15_Instance_10_2_2_0,2_0,6_20_Rep0.txt   0.68   225   417 
255   15_Instance_10_2_2_0,2_0,6_20_Rep0.txt   0.68   225   417 
255   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.08   6503   8081 
256   160_Instance_10_2_3_0,6_0,6_10_Rep0.txt   0.38   3066   3334 
256   160_Instance_10_2_3_0,6_0,6_10_Rep0.txt   0.38   3066   3334 
256   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.04   6503   8383 
261   165_Instance_10_2_3_0,6_0,6_20_Rep0.txt   0.38   4201   4345 
261   165_Instance_10_2_3_0,6_0,6_20_Rep0.txt   0.38   4201   4345 
261   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.29   6503   8555 
267   170_Instance_10_2_3_0,6_1_10_Rep0.txt   0.37   3726   4461 
267   170_Instance_10_2_3_0,6_1_10_Rep0.txt   0.37   3726   4461 
267   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.04   6503   8553 
272   175_Instance_10_2_3_0,6_1_20_Rep0.txt   0.37   2097   2273 
272   175_Instance_10_2_3_0,6_1_20_Rep0.txt   0.37   2097   2273 
272   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.02   6503   8519 
280   20_Instance_10_2_2_0,2_1_10_Rep0.txt   0.73   235   351 
280   20_Instance_10_2_2_0,2_1_10_Rep0.txt   0.73   235   351 
280   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.68   6503   8298 
285   25_Instance_10_2_2_0,2_1_20_Rep0.txt   0.68   558   150 
285   25_Instance_10_2_2_0,2_1_20_Rep0.txt   0.68   558   150 
285   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.13   6503   8278 
290   30_Instance_10_2_2_0,4_0,2_10_Rep0.txt   0.65   1119   1322 
290   30_Instance_10_2_2_0,4_0,2_10_Rep0.txt   0.65   1119   1322 
290   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.84   6503   8459 
295   35_Instance_10_2_2_0,4_0,2_20_Rep0.txt   0.68   2377   2096 
295   35_Instance_10_2_2_0,4_0,2_20_Rep0.txt   0.68   2377   2096 
295   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.39   6503   8267 
300   40_Instance_10_2_2_0,4_0,6_10_Rep0.txt   0.67   697   897 
300   40_Instance_10_2_2_0,4_0,6_10_Rep0.txt   0.67   697   897 
300   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.05   6503   7748 
305   45_Instance_10_2_2_0,4_0,6_20_Rep0.txt   0.38   432   244 
305   45_Instance_10_2_2_0,4_0,6_20_Rep0.txt   0.38   432   244 
305   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.1   6503   7526 
310   50_Instance_10_2_2_0,4_1_10_Rep0.txt   0.41   1035   520 
310   50_Instance_10_2_2_0,4_1_10_Rep0.txt   0.41   1035   520 
310   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.3   6503   7966 
314   540_Instance_15_2_2_0,2_0,2_10_Rep0.txt   1.48   1682   2500 
314   540_Instance_15_2_2_0,2_0,2_10_Rep0.txt   1.48   1682   2500 
314   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.3   6503   8478 
319   545_Instance_15_2_2_0,2_0,2_20_Rep0.txt   1.43   1259   2490 
